ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
3326,5,3,3,1,241,3,2,2,9,5184,0
6313,4,2,6,2,161,4,1,2,10,1683,0
4612,2,3,3,4,219,2,2,2,7,4883,1
7606,2,3,3,1,236,3,1,2,2,4298,0
7950,5,2,4,2,201,8,2,1,6,5128,0
7960,2,2,6,4,247,4,1,2,7,1831,0
3174,5,3,4,2,272,3,3,2,7,5927,0
8432,5,3,3,1,250,4,1,1,8,4028,1
6582,5,2,5,3,248,5,1,1,7,1475,1
6201,1,3,4,1,153,2,1,1,1,4027,0
3605,3,3,7,4,282,5,1,2,5,1149,0
3510,5,3,2,3,192,3,2,1,8,5787,1
5063,3,1,6,2,140,2,3,2,1,4053,0
3392,5,3,4,2,178,8,2,2,5,4120,1
5769,1,2,6,4,266,4,1,2,3,1503,1
6637,4,3,4,1,155,5,1,1,1,5986,0
7398,5,2,4,2,246,6,1,2,5,1622,0
3295,4,2,4,1,155,3,1,1,5,4283,1
3536,5,1,6,3,222,5,3,1,2,4612,0
4174,2,3,3,2,234,2,2,2,8,4012,1
3775,4,3,4,2,204,2,1,1,1,4533,0
8100,5,2,5,1,282,5,1,2,6,5182,1
4700,5,3,3,4,147,3,1,1,8,5525,0
6723,1,2,4,4,193,3,2,1,3,4596,0
8466,5,3,4,5,182,2,2,1,10,5098,1
3176,5,3,2,3,134,3,1,2,6,4444,1
5680,2,3,3,4,205,3,3,1,1,5407,0
3723,1,3,4,2,174,3,2,1,10,4318,0
6101,3,3,4,3,163,3,1,1,7,4556,0
7044,5,3,4,5,135,3,1,1,3,4760,0
7307,3,3,3,2,181,3,1,2,4,5966,1
5828,5,3,4,2,246,4,2,2,7,5056,1
4160,5,3,3,3,134,4,2,2,7,5370,1
3937,4,3,3,5,137,2,1,1,6,5709,1
8412,5,3,3,2,168,3,2,2,10,4979,1
5898,5,2,5,4,151,5,1,1,1,4122,0
3809,3,3,4,1,204,2,1,2,7,5795,0
4385,3,2,3,3,134,2,3,2,1,5646,0
5578,2,3,3,1,242,6,1,2,10,5493,1
8334,5,1,4,1,262,6,1,2,1,1627,1
3300,5,2,4,4,208,3,1,1,10,4919,0
5387,3,3,4,4,219,2,2,2,7,4604,0
4843,4,3,4,2,225,2,2,2,7,5241,1
3660,5,3,6,3,166,3,1,1,2,5559,0
3749,3,3,3,4,250,2,2,2,1,4922,1
7588,2,3,4,1,201,6,2,1,8,5529,0
8657,3,3,7,5,265,4,1,1,1,1601,0
5953,4,3,3,2,204,10,2,1,10,4534,0
3801,1,3,5,4,156,4,1,2,1,5533,1
4915,4,1,4,4,212,2,2,2,8,4239,0
5672,5,3,4,2,246,3,1,1,1,5815,1
8190,5,3,3,1,259,2,1,1,3,4380,0
6052,2,3,6,5,165,6,1,1,6,1529,1
3881,3,3,3,2,260,4,3,1,3,4423,0
8540,5,3,5,4,211,3,1,2,9,4908,0
3369,1,3,4,2,296,2,2,1,2,1233,0
5639,3,3,4,1,177,3,2,1,5,4382,0
6902,5,3,6,5,266,4,1,1,6,1201,0
7790,5,1,3,3,153,3,1,1,3,4829,0
5256,5,3,7,2,310,4,1,2,4,1806,0
4065,1,3,3,1,169,3,1,1,6,4081,1
7149,1,3,6,2,247,4,2,2,8,1941,0
5527,4,3,6,5,252,4,1,1,9,1460,0
7447,4,3,5,2,174,3,2,1,10,4902,1
4126,2,2,3,5,230,4,2,1,2,5916,1
7095,1,3,3,2,182,10,1,2,1,4303,0
5519,3,3,5,3,227,5,2,2,2,1965,0
7352,5,3,3,2,154,3,1,1,6,5540,1
6610,2,3,5,1,267,5,2,2,10,1505,0
8871,1,3,5,3,239,5,1,2,10,1784,0
6941,3,3,3,5,276,5,1,1,10,5302,1
6642,5,3,5,5,135,2,1,1,1,4324,1
3474,5,3,3,2,204,4,1,2,4,4745,0
4175,3,3,6,1,215,5,2,1,5,4362,0
5675,3,3,3,5,141,3,2,2,10,5775,0
8775,1,2,4,2,242,2,2,1,8,5243,1
3698,5,2,5,1,211,2,2,2,1,5913,1
8677,4,3,3,1,207,4,1,1,9,5889,0
5360,5,2,4,4,145,2,2,2,8,5645,1
5234,5,3,3,5,221,10,2,1,7,5743,1
8600,5,3,4,1,232,5,2,2,8,1943,0
6636,5,3,3,4,186,4,1,2,6,4403,0
3492,5,3,4,2,223,3,2,2,3,5121,0
3781,4,3,3,3,231,2,3,1,8,5021,0
8934,5,3,5,3,140,5,2,1,6,1823,0
4699,4,3,4,3,213,3,1,1,2,5722,0
7289,3,3,4,3,217,3,2,1,7,4723,1
6766,2,3,5,4,211,4,1,1,4,4498,1
5977,4,3,4,2,244,3,3,1,3,4103,0
4871,3,3,3,3,204,2,2,2,6,5612,0
8691,1,3,3,5,243,3,1,2,1,4623,0
4779,1,1,4,1,245,2,1,2,5,5324,1
4266,5,3,3,4,237,3,3,1,9,5514,1
8381,3,3,5,2,246,3,1,1,9,5795,0
7391,3,1,3,5,223,7,3,2,8,4178,1
6926,5,3,6,4,247,4,2,2,3,1946,0
3537,1,1,4,5,259,2,1,2,7,4390,1
3253,4,3,3,2,160,3,2,1,6,4808,1
4797,1,2,5,2,275,4,2,1,10,1141,1
3528,5,3,4,5,274,3,2,2,4,4521,0
5281,4,3,6,5,261,4,1,1,3,1217,1
